ID,Date,Total Loss
461,3/9/2013 0:00,157500
462,8/10/2008 0:00,0
463,1/17/2006 0:00,11000
464,11/8/2006 0:00,30000
465,11/29/2012 0:00,5500
466,6/7/2011 0:00,5000
467,3/7/2009 0:00,4050
468,9/22/2008 0:00,10000
469,11/23/2009 0:00,2500
470,2/12/2009 0:00,0
471,7/28/2009 0:00,0
472,5/31/2015 0:00,0
473,10/10/2016 0:00,5000
474,4/22/2014 0:00,1500
475,1/8/2015 0:00,16000
476,1/13/2007 0:00,0
477,3/30/2014 0:00,22000
478,7/6/2014 0:00,1100
479,8/26/2011 0:00,20500
480,10/15/2008 0:00,0
481,5/11/2015 0:00,12500
482,11/26/2014 0:00,30500
483,10/28/2012 0:00,0
484,4/18/2015 0:00,1100
485,7/20/2012 0:00,0
486,8/7/2010 0:00,3000
487,11/4/2008 0:00,38000
488,10/11/2009 0:00,2000
489,9/13/2007 0:00,9000
490,6/22/2005 0:00,753
491,11/27/2008 0:00,1150
492,3/6/2016 0:00,12100
493,9/12/2014 0:00,35000
494,6/5/2007 0:00,70500
495,12/25/2005 0:00,192100
496,12/4/2011 0:00,0
497,7/24/2010 0:00,0
498,7/7/2008 0:00,57000
499,7/2/2016 0:00,0
500,10/5/2006 0:00,0
501,4/25/2012 0:00,0
502,1/16/2005 0:00,30000
503,11/22/2016 0:00,1550
504,1/12/2014 0:00,7000
505,10/19/2006 0:00,350
506,2/9/2011 0:00,13100
507,8/22/2013 0:00,16300
508,9/8/2015 0:00,4000
509,5/18/2011 0:00,2100
510,11/20/2011 0:00,0
511,2/14/2015 0:00,500
512,10/9/2010 0:00,2200
513,1/12/2016 0:00,254000
514,11/11/2009 0:00,5200
515,4/16/2006 0:00,37150
516,5/1/2012 0:00,2650
517,3/29/2013 0:00,1500
518,8/26/2012 0:00,15600
519,7/24/2013 0:00,8675
520,3/11/2005 0:00,0
521,5/4/2014 0:00,2000
522,12/25/2007 0:00,1025
523,1/27/2007 0:00,100
524,2/22/2012 0:00,53150
525,6/28/2008 0:00,0
526,10/1/2013 0:00,0
527,8/11/2006 0:00,1500
528,6/11/2008 0:00,1800
529,3/6/2010 0:00,1000
530,6/11/2015 0:00,32430
531,6/14/2010 0:00,0
532,3/3/2008 0:00,100
533,10/2/2006 0:00,12500
534,1/9/2014 0:00,19050
535,11/14/2011 0:00,23000
536,1/6/2006 0:00,31250
537,5/18/2012 0:00,45000
538,12/15/2016 0:00,112000
539,4/15/2013 0:00,0
540,12/26/2015 0:00,0
541,1/12/2009 0:00,2700
542,4/21/2016 0:00,0
543,1/28/2015 0:00,4000
544,7/1/2010 0:00,8000
545,8/27/2005 0:00,7200
546,5/3/2006 0:00,500
547,7/25/2006 0:00,0
548,11/30/2010 0:00,200
549,3/12/2013 0:00,0
550,3/31/2007 0:00,11010
551,10/28/2011 0:00,450
552,2/15/2009 0:00,42100
553,9/14/2013 0:00,53000
554,10/4/2015 0:00,0
555,4/13/2011 0:00,0
556,12/23/2013 0:00,200
557,5/22/2007 0:00,1100
558,9/15/2006 0:00,0
559,8/29/2014 0:00,8800
560,5/26/2009 0:00,0
561,4/7/2016 0:00,24000
562,2/5/2012 0:00,0
563,4/8/2009 0:00,56200
564,7/16/2016 0:00,55000
565,5/5/2008 0:00,500
566,5/21/2014 0:00,8500
